Name of material,Guide No.,ID No.,Toxic Inhalation Hazard,Water Reactive,Chemical Warfare,,Order #
AC,117,— —,,,Z,,1
Acetal,127,1088,,,,,2
Acetaldehyde,129P,1089,,,,,3
Acetaldehyde ammonia,171,1841,,,,,4
Acetaldehyde oxime,129,2332,,,,,5
Acetic acid & glacial,132,2789,,,,,6
Acetic acid & solution & more than 10% but not more than 80% acid,153,2790,,,,,7
Acetic acid & solution & more than 80% acid,132,2789,,,,,8
Acetic anhydride,137,1715,,,,,9
Acetone,127,1090,,,,,10
Acetone cyanohydrin & stabilized,155,1541,,W,,,11
Acetone oils,127,1091,,,,,12
Acetonitrile,127,1648,,,,,13
Acetyl bromide,156,1716,,W,,,14
Acetyl chloride,155,1717,,W,,,15
Acetylene & dissolved,116,1001,,,,,16
Acetylene & Ethylene and Propylene in mixture & refrigerated liquid containing at least 71.5% Ethylene with not more than 22.5% Acetylene and not more than 6% Propylene,115,3138,,,,,17
Acetylene & solvent free,116,3374,,,,,18
Acetylene tetrabromide,159,2504,,,,,19
Acetyl iodide,156,1898,,W,,,20
Acetyl methyl carbinol,127,2621,,,,,21
Acid & sludge,153,1906,,,,,22
Acid butyl phosphate,153,1718,,,,,23
Acridine,153,2713,,,,,24
Acrolein & stabilized,131P,1092,X,,,,25
Acrolein dimer & stabilized,129P,2607,,,,,26
Acrylamide & solid,153P,2074,,,,,27
Acrylamide & solution,153P,3426,,,,,28
Acrylic acid & stabilized,132P,2218,,,,,29
Acrylonitrile & stabilized,131P,1093,X,,,,30
Adamsite,154,— —,,,Z,,31
Adhesives (flammable),128,1133,,,,,32
Adiponitrile,153,2205,,,,,33
Adsorbed gas & flammable & n.o.s.,174,3510,,,,,34
Adsorbed gas & n.o.s.,174,3511,,,,,35
Adsorbed gas & oxidizing & n.o.s.,174,3513,,,,,36
Adsorbed gas & poisonous & corrosive & n.o.s.,173,3516,X,,,,37
Adsorbed gas & poisonous & corrosive & n.o.s. (Inhalation hazard zone A),173,3516,X,,,,38
Adsorbed gas & poisonous & corrosive & n.o.s. (Inhalation hazard zone B),173,3516,X,,,,39
Adsorbed gas & poisonous & corrosive & n.o.s. (Inhalation hazard zone C),173,3516,X,,,,40
Adsorbed gas & poisonous & corrosive & n.o.s. (Inhalation hazard zone D),173,3516,X,,,,41
Adsorbed gas & poisonous & flammable & corrosive & n.o.s.,173,3517,X,,,,42
Adsorbed gas & poisonous & flammable & corrosive & n.o.s. (Inhalation hazard zone A),173,3517,X,,,,43
Adsorbed gas & poisonous & flammable & corrosive & n.o.s. (Inhalation hazard zone B),173,3517,X,,,,44
